county,year,month,wildfire_acres
Colusa,2012.0,8.0,3992.348996233583
Colusa,2012.0,9.0,17690.710416474038
Colusa,2014.0,7.0,24.136519999999997
Colusa,2015.0,7.0,10452.803069825028
Colusa,2017.0,6.0,11.683080000000002
Colusa,2017.0,7.0,69.07271999999996
Colusa,2018.0,6.0,43.42163214099734
Colusa,2018.0,7.0,73733.8128604414
Colusa,2019.0,6.0,244.0813297290446
Colusa,2019.0,8.0,1.9190229999999997
Contra Costa,2000.0,,79.57641999999997
Contra Costa,2002.0,8.0,200.15439999999978
Contra Costa,2003.0,8.0,398.6158999999997
Contra Costa,2004.0,6.0,624.9357000000008
Contra Costa,2005.0,6.0,463.3957573419613
Contra Costa,2005.0,7.0,551.6101299999996
Contra Costa,2010.0,7.0,511.53750000000025
Contra Costa,2010.0,8.0,184.03450000000018
Contra Costa,2011.0,9.0,17.32406999999999
Contra Costa,2013.0,7.0,478.0438000000001
Contra Costa,2013.0,9.0,3107.7270000000062
Contra Costa,2018.0,7.0,247.0500999999997
Contra Costa,2019.0,8.0,740.4729
Del Norte,2001.0,9.0,101.13669999999998
Del Norte,2002.0,4.0,174.51440000000008
Del Norte,2002.0,7.0,29726.298227436302
Del Norte,2006.0,7.0,422.0619000000001
Del Norte,2007.0,7.0,120.52262199999998
Del Norte,2008.0,6.0,42936.26977644995
Del Norte,2008.0,7.0,34.797709999999995
Del Norte,2008.0,9.0,60.00959
Del Norte,2009.0,10.0,324.33009999999985
Del Norte,2011.0,8.0,20.655539999999995
Del Norte,2013.0,3.0,10.095789999999996
Del Norte,2014.0,8.0,0.4986372999999999
Del Norte,2015.0,6.0,20.128509999999977
Del Norte,2015.0,7.0,11176.904944748943
Del Norte,2015.0,8.0,24890.316745715034
Del Norte,2017.0,6.0,11.31573
Del Norte,2017.0,7.0,242.47359999999995
Del Norte,2017.0,8.0,21559.15503051162
Del Norte,2018.0,7.0,4.837892000000001
Del Norte,2018.0,10.0,4655.521306454275
El Dorado,2001.0,5.0,33.49118000000001
El Dorado,2001.0,6.0,100.02938
El Dorado,2001.0,7.0,428.0086
El Dorado,2001.0,8.0,98.69863000000002
El Dorado,2002.0,4.0,13.809900000000004
El Dorado,2002.0,7.0,343.2805774911717
El Dorado,2002.0,8.0,1109.0723300000004
El Dorado,2002.0,9.0,50.401260000000015
El Dorado,2002.0,11.0,2644.9935400000004
El Dorado,2003.0,6.0,60.15598999999999
El Dorado,2003.0,7.0,113.20000999999996
El Dorado,2003.0,9.0,126.8676
El Dorado,2004.0,7.0,34.93005
El Dorado,2004.0,9.0,34.927229999999994
El Dorado,2004.0,10.0,7557.607000000002
El Dorado,2005.0,8.0,24.30147499999999
El Dorado,2005.0,9.0,37.11138
El Dorado,2005.0,11.0,25.803589999999996
El Dorado,2006.0,7.0,85.49673000000001
El Dorado,2006.0,9.0,172.73068741673654
El Dorado,2006.0,10.0,51.29407999999998
El Dorado,2007.0,6.0,3070.786788199999
El Dorado,2007.0,7.0,125.96059999999997
El Dorado,2008.0,4.0,9.856037
El Dorado,2008.0,5.0,149.62765
El Dorado,2008.0,6.0,67.65267000000003
El Dorado,2008.0,7.0,0.7016693
El Dorado,2008.0,11.0,43.50024
El Dorado,2009.0,7.0,7.131624616295001
El Dorado,2011.0,9.0,497.6915599999998
El Dorado,2011.0,12.0,184.47753999999992
El Dorado,2012.0,8.0,44.305789999999966
El Dorado,2013.0,7.0,570.8654999999999
El Dorado,2013.0,8.0,25.86356
El Dorado,2013.0,12.0,19.825450000000018
El Dorado,2014.0,7.0,3852.884955858053
El Dorado,2014.0,9.0,68408.79338185539
El Dorado,2015.0,2.0,22.061999999999973
El Dorado,2015.0,7.0,84.0194500000001
El Dorado,2016.0,6.0,5524.15428673724
El Dorado,2016.0,7.0,49.232589999999995
El Dorado,2016.0,8.0,24.99905000000003
El Dorado,2016.0,10.0,175.32669999999985
El Dorado,2017.0,7.0,332.78133437033136
El Dorado,2017.0,8.0,84.5192888
El Dorado,2017.0,9.0,557.4742999999992
El Dorado,2017.0,10.0,29.370000000000015
El Dorado,2018.0,7.0,235.9606612047658
El Dorado,2018.0,8.0,133.42898999999994
El Dorado,2018.0,9.0,145.03340999999995
El Dorado,2019.0,7.0,15.626175000000003
El Dorado,2019.0,8.0,34.914860000000004
El Dorado,2019.0,9.0,125.23607999999989
El Dorado,2019.0,10.0,3441.7660000000033
Fresno,2000.0,6.0,130.38614900000002
Fresno,2000.0,7.0,382.0134499999999
Fresno,2000.0,8.0,654.4009
Fresno,2000.0,9.0,258.16717000000006
Fresno,2001.0,5.0,68.97868999999999
Fresno,2001.0,6.0,42.267199999999995
Fresno,2001.0,7.0,6437.0506140000025
Fresno,2001.0,8.0,218.96534999999997
Fresno,2002.0,5.0,458.08804000000043
Fresno,2002.0,6.0,538.4530209999998
Fresno,2002.0,7.0,104.33015999999999
Fresno,2002.0,8.0,1602.2183199999988
Fresno,2002.0,9.0,18.61425499999999
Fresno,2002.0,10.0,13.278540000000017
Fresno,2002.0,11.0,15.790569999999995
Fresno,2003.0,4.0,290.82819999999987
Fresno,2003.0,6.0,91.77016999999996
Fresno,2003.0,7.0,214.61387000000002
Fresno,2003.0,8.0,252.03426000000002
Fresno,2003.0,9.0,23.794879999999985
Fresno,2004.0,7.0,1212.4719
Fresno,2004.0,8.0,59.67936699999998
Fresno,2005.0,5.0,667.1227000000003
