county,year,month,wildfire_acres
Chelan,2014,9,45.83827269999996
Chelan,2015,6,68503.35743999001
Chelan,2015,7,691.6799628399997
Chelan,2015,8,34043.20477018625
Chelan,2016,7,4034.5041047700042
Chelan,2016,8,883.8537749200001
Chelan,2017,6,8728.977660460001
Chelan,2017,8,13178.798007799509
Chelan,2017,9,506.0584344199997
Chelan,2018,7,43930.024353386296
Chelan,2018,8,79.38942941999998
Chelan,2019,7,806.3968677900004
Clallam,2016,7,56.99801953000003
Clark,2010,8,133.9995397700001
Columbia,2001,8,258.25443062999983
Columbia,2005,8,25067.057619771927
Columbia,2006,8,105473.5520534266
Columbia,2015,8,29477.48348621194
Columbia,2016,7,2481.14595978
Columbia,2016,8,5281.21634623037
Cowlitz,2010,7,122.54881001999998
Cowlitz,2015,7,110.63053868000003
Douglas,2004,7,4205.5936244700015
Douglas,2007,7,3156.024481289999
Douglas,2008,6,829.202746092968
Douglas,2008,7,15047.985660369995
Douglas,2010,9,5.6633607079314014
Douglas,2012,7,1299.7348779052245
Douglas,2012,8,11955.91891391999
Douglas,2012,9,83259.12773832247
Douglas,2014,6,377.3075605999999
Douglas,2014,7,6235.89443335
Douglas,2014,8,633.13542642
Douglas,2014,9,2.1190412180162603
Douglas,2015,6,763.7692451100004
Douglas,2015,7,23113.65336762999
Douglas,2015,8,27771.210913204137
Douglas,2016,9,182.99533799716485
Douglas,2017,6,20831.58242615903
Douglas,2017,7,598.9858732700004
Douglas,2017,8,2497.4704234099995
Douglas,2017,9,2997.271628552888
Douglas,2018,7,3294.375315274252
Douglas,2018,8,70017.74540736833
Douglas,2018,9,2610.618083219999
Douglas,2019,7,1461.0627384099996
Douglas,2019,10,1122.1958153000012
Ferry,2001,8,6297.149166909998
Ferry,2003,7,12742.614744509992
Ferry,2003,8,5218.372208360004
Ferry,2006,7,81.54705117
Ferry,2006,9,485.1034756500005
Ferry,2006,10,131.14790047999998
Ferry,2007,7,108.73438229999994
Ferry,2007,9,25804.943807410364
Ferry,2008,7,521.1431810500001
Ferry,2010,8,646.5156126600001
Ferry,2011,8,623.9256438245411
Ferry,2012,7,1002.9984372399987
Ferry,2012,8,482.36708540540616
Ferry,2012,9,438.10849116
Ferry,2013,7,506.6619967699998
Ferry,2013,8,368.3002741800001
Ferry,2014,4,410.6735513700001
Ferry,2014,6,818.2441678700005
Ferry,2014,7,273.91414312
Ferry,2014,8,24003.214532810034
Ferry,2015,7,2484.814971879994
Ferry,2015,8,136863.69339965566
Ferry,2016,8,1893.9828335900038
Ferry,2017,7,831.3747266800007
Ferry,2017,8,3713.476559960004
Ferry,2018,7,3083.963355720001
Ferry,2018,8,4698.015213020016
Ferry,2019,8,44378.77008541999
Franklin,2007,7,11231.801517482585
Franklin,2013,7,338.53387350999986
Franklin,2016,8,8463.656260390002
Franklin,2017,5,99.90709868000043
Franklin,2018,8,2079.2966368502853
Franklin,2019,8,1145.7578569200002
Garfield,2005,8,24617.692720268133
Garfield,2006,8,6264.311031486313
Garfield,2011,9,3951.880572949998
Garfield,2015,8,8803.843403555447
Garfield,2016,8,5015.624976842634
Garfield,2017,7,3115.004400870001
Grant,2005,7,4914.727148950005
Grant,2006,6,3183.482712740001
Grant,2007,7,8325.238575338286
Grant,2007,8,529.5493618269606
Grant,2008,6,4717.620942757033
Grant,2008,7,3142.1692116599993
Grant,2009,8,1278.2369317500002
Grant,2010,9,7663.218855822071
Grant,2012,6,34.82611522015634
Grant,2012,7,464.6953760047831
Grant,2012,9,4971.052626467517
Grant,2014,9,209.0760436819846
Grant,2015,6,16850.139624570005
Grant,2015,7,2201.4944639099995
Grant,2016,5,1912.500844420001
Grant,2016,7,8828.965034607781
Grant,2016,8,9036.699529769998
Grant,2016,9,51.21432266283437
Grant,2017,6,16862.576342241024
Grant,2017,7,707.6289266199998
Grant,2017,8,15318.78299418552
Grant,2017,9,463.48458431711015
Grant,2018,6,2639.6936417
Grant,2018,7,25606.640988135725
Grant,2018,8,8137.003091541622
Grant,2018,9,11704.178167330007
Grant,2019,6,20426.771337309994
Grant,2019,7,7847.256979589996
Jefferson,2010,8,385.0652131899995
Jefferson,2011,9,1257.1697447200008
Jefferson,2015,6,2798.078845830002
Jefferson,2016,7,3033.160840929996
